medpred,infpred,suppred
0.5494477611940299,0.32,0.807
0.5061988304093568,0.314,0.79
0.5498557213930347,0.323,0.807
4.2173184079601995,0.754,10.815
2.4260497512437813,0.561,7.6
1.538641791044776,0.479,4.83
0.8810248756218905,0.411,2.84
0.5968258706467662,0.323,0.86
0.5584975124378109,0.323,0.809
0.5470746268656715,0.32,0.807
0.7177263681592041,0.38,2.56
0.708268656716418,0.381,2.53
0.5637313432835821,0.323,0.807
1.8231243791044778,0.511,4.25
4.275159203980099,0.745,10.0
2.234696517412935,0.582,6.8
1.5277562189054723,0.48,4.83
0.935592039800995,0.42,2.95
0.6491393034825871,0.344,1.12
0.5694427860696517,0.323,0.836
0.5588457711442786,0.323,0.809
0.5661791044776119,0.323,0.807
3.7841243781094525,0.887,15.878
4.104373134328358,0.633,9.9
1.8657014930348255,0.591,4.29
2.575681592039801,0.621,7.59
2.253537313432836,0.582,6.75
1.7404875641791044,0.44,6.14
1.6129850751243782,0.442,4.89
8.544557213930348,2.904,17.441
5.696298507462686,1.806,11.255
3.29289552238806,0.933,7.81
1.7387164199004979,0.44,6.14
1.3913184079601988,0.466,4.73
1.3692537313432838,0.458,7.14
1.1744577114427859,0.442,5.25
1.0906865671641792,0.438,5.09
0.9846865671641791,0.429,2.95
0.9659701492537314,0.428,4.52
0.9286467661691543,0.411,2.95
9.572805970149254,3.284,20.408
12.559786069651741,4.45,28.305
13.191184079601989,5.443,24.844
8.280203980099504,2.638,16.546
5.880482587064676,1.641,10.8
31.345676616915423,10.835,62.6
21.69099502487562,7.065,42.367
13.529835820895524,5.547,24.844
14.436815920398011,5.316,26.8
50.60496517462686,22.215,115.0
28.627084577114427,11.0,47.899
15.49539303482587,5.75,30.3
9.66092537313433,3.098,20.578
6.549139303482587,1.919,14.369
5.645980099502488,1.824,11.063
5.830353233830846,1.713,11.545
130.2301280008,47.2,370.0
240.25849999999997,79.3,627.0
120.97481579013157,38.53,370.0
43.77260696517413,18.3,72.551
22.804756218905474,7.458,44.9
15.035393034825873,5.823,26.8
13.669298507462686,4.993,25.378
13.635174129353235,4.993,25.7
14.072646766169154,5.467,26.8
13.49202487562189,5.0,25.378
11.101592039800995,3.66,24.74
10.381,3.765,25.537
10.18518407960199,3.284,25.714
9.592885572139304,2.951,20.578
8.799258706467661,2.88,20.347
8.630034825870647,2.814,17.702
70.44258638848166,24.841,158.872
137.04605769326923,40.8,392.037
91.27965318092487,31.1,242.766
49.53027860696517,23.695,96.9
28.405975124378113,11.0,47.899
24.419796019900495,7.56,42.202
23.990084577114427,7.56,41.2
53.27876119502488,24.1,99.991
33.11492039800995,10.848,62.6
21.35355223880597,7.065,40.669
21.670054726368157,7.065,42.367
16.66194029850746,6.169,31.9
20.544587064676616,7.065,37.603
17.05734825870647,6.905,31.9
17.05734825870647,6.905,31.9
15.0383184079602,6.036,26.8
16.150611940298507,6.084,36.1
45.306990049751235,18.572,90.537
57.00973631940298,24.1,120.48
43.22172139303482,18.3,90.537
74.67087700695187,24.841,158.872
45.305492537313434,18.572,90.537
24.040865671641786,7.56,41.2
18.20149751243781,6.122,31.9
21.341597014925373,7.065,40.669
17.05734825870647,6.905,31.9
14.901273631840796,6.036,25.243
13.62112935323383,4.993,25.7
13.5113631840796,5.0,24.844
33.58936815920398,12.13,62.6
35.222278606965176,12.13,74.802
22.584407960199005,7.56,42.367
15.033786069651741,5.823,26.8
13.609910447761195,5.0,25.378
11.142915422885572,3.565,24.434
10.996462686567163,3.66,24.74
11.25584577114428,3.66,26.67
10.523164179104477,3.954,25.537
10.067139303482586,3.293,23.91
9.351721393034826,2.88,20.414
8.755800995024876,2.814,19.0
8.566009950248757,2.814,17.647
8.132666666666667,2.843,17.3
8.427054726368159,2.814,17.441
8.465955223880595,3.15,17.441
16.149592039800996,6.036,36.1
16.59271144278607,6.169,31.9
69.89582901658032,24.841,171.0
49.55251741293532,23.695,96.9
34.36691542288557,12.13,62.6
22.916199004975123,7.346,42.367
16.309855721393035,5.868,31.016
13.9004776119403,5.463,26.8
91.27965318092487,31.1,242.766
240.25849999999997,79.3,627.0
120.97481579013157,38.53,370.0
51.00008955323383,22.1,115.0
33.85092039800995,12.13,62.6
23.110124378109454,7.201,42.367
17.294278606965175,6.905,31.9
15.776935323383084,6.036,30.3
18.254427860696516,6.122,31.9
24.936288557213928,7.385,45.733
27.181069651741296,11.0,45.733
20.83428358208955,7.065,38.239
15.256641791044776,5.823,29.275
13.943283582089553,5.202,27.669
54.476218906467665,24.1,115.0
38.98713432835821,14.352,75.544
26.82994029850746,7.687,45.733
29.73934328358209,9.261,65.09
30.832293532338305,9.261,65.09
24.573258706467662,7.385,42.202
21.232502487562186,6.782,38.239
16.722184079601988,6.084,36.1
15.028930348258706,5.823,26.8
52.54621890646766,24.1,115.0
39.906000000000006,15.629,75.544
24.41812437810945,7.56,42.202
18.3184776119403,6.169,31.016
18.479781094527365,6.122,32.609
17.93399502487562,6.169,31.9
15.599228855721394,5.75,30.3
14.247442786069652,5.589,25.243
15.337756218905474,5.823,30.3
13.943283582089553,5.202,27.669
21.340746268656716,7.065,40.669
23.635208955223877,7.458,41.2
31.623407960199007,10.835,62.6
28.583616915422883,11.0,47.899
22.702368159203985,7.201,40.53
29.499522388059702,9.261,65.09
22.740930348258708,7.201,40.53
22.799999999999997,7.201,42.367
16.59271144278607,6.169,31.9
